coursecode,coursetitle,longdesc,courseabbr,comment,minpassscore,pretestpassscore
RC-WBT-000454,CLO_Documenting Key Decisions in Gilead Sponsored Studies,"This mandatory training course covers the required practices for Documenting Key Decisions, as required by our MHRA CAPA commitment, and general Good Documentation Practice.",RC TRAIN ADMIN,"Owner/sponsor: Jessica Danelon – ClinOps L&DEXTRACTCRLFCAPA PR 154303, TASK PR 153191",100.0,None
RC-WBT-000367,CLO_France Data Protection,The purpose of this training is to explain the guideline for date of birth (DOB) data collection for sites in France.,None,Owner/sponsor: Amanda Titus - PALM,None,None
RC-WBT-000395,CLO_Serious Breach Challenge: Understanding SOP-CR-23054,This module will test your understanding of SOP-CR-23054 by providing you with a series of potential serious breach scenarios that you must respond to appropriately.,RC TRAIN ADMIN,Owner: Amanda Titus/Carmella Britt,100.0,None
RC-WBT-000384,CLO_Subject Recruitment Materials (SRM) Training for Clinical Operations,This course introduces users to the new SRM review workflow.,RC TRAIN ADMIN,Owner/sponsor: Ishita Joag/PALM,100.0,None
RC-WBT-000361,CLO_Study Quality & Risk Management,"The purpose of this course is to show the importance of risk management, explain the Study Quality and Risk Management procedure, and demonstrate how the risk-based systems are used.",RC TRAIN ADMIN,Owner/Sponsor: Lea Grossman/ClinOps LKM,100.0,None
RC-WBT-000423,CLO_Collecting 1572 & Investigator Information,This course provides guidance on the revised process for collecting 1572s & clinical investigator information and associated updates.,RC TRAIN ADMIN,Owner/sponsor: Alyssa Barringer (Learning & Knowledge Management),100.0,None
RC-WBT-000401,CLO_ICH GCP Overview,This course is designed to provide learners with an overview of International Conference on Harmonization (ICH) Good Clinical Practice (GCP).,RC TRAIN ADMIN,Owner/sponsor: Peter Tiziani/Erica Forsyth - ClinOps LKM,100.0,None
RC-WBT-000310,CLO_TMF Process Overview,"RC-WBT-000310:EXTRACTCRLFThis course provides an introduction to the TMF process at Gilead. After completing this course, you will be able to:EXTRACTCRLFEXTRACTCRLF1. Understand the basics of TMF at GileadEXTRACTCRLF2. Understand how the TMF Master Index serves as a manual for the TMF at GileadEXTRACTCRLF3. Identify the major TMF roles and how they contribute to the TMF processEXTRACTCRLF4. Understand the high-level TMF process and major activities within each stageEXTRACTCRLFEXTRACTCRLFNote: This course should be completed before RC-WBT-000315 (eTMF System Navigation).EXTRACTCRLF",RC TRAIN ADMIN,Owner/sponsor: Kristen Pela/Tom Tolfa - Learning & Knowledge MgmtEXTRACTCRLFAssociated with SOP-CR-23059,100.0,None
RC-WBT-000734,Gilead Quality Policy Attestation,None,None,Owner/contact: PDL,100.0,None
RC-WBT-000641,CLO_EU Clinical Trials Regulation - CTR Foundation Course,"This course on the CTR Foundation Course, hosted by the Gilead Clinical Trial Regulation Implementation Group. Training Materials TRN-34118.",None,Owner: MarieClaire Aquilina,100.0,None
